#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1980-01-01 to 2023-01-01
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1071: Esther Island, AK
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Minimum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Precipitation Increment  Value       None           Day                N/A        Inches              N/A           PRCP          Total precipitation                                      
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Esther Island (1071) 
# Alaska  SNOTEL Site - 50 ft
# Reporting Frequency: Daily; Date Range: 1980-01-01 to 2023-01-01
#
# As of: Jan 26, 2023 3:02:20 PM GMT-08:00
#
Date,Esther Island (1071) Air Temperature Maximum (degF),Esther Island (1071) Air Temperature Minimum (degF),Esther Island (1071) Precipitation Increment (in)
2006-04-13,42.8,32.0,0.2
2006-04-14,39.2,32.0,0.1
2006-04-15,41.0,26.6,0.1
2006-04-16,37.4,32.0,0.1
2006-04-17,42.8,32.0,0.0
2006-04-18,42.8,26.6,0.1
2006-04-19,42.8,24.8,0.2
2006-04-20,37.4,33.8,0.2
2006-04-21,39.2,32.0,0.0
2006-04-22,39.2,32.0,0.1
2006-04-23,42.8,32.0,1.3
2006-04-24,39.2,32.0,0.9
2006-04-25,46.4,28.4,0.1
2006-04-26,48.2,28.4,0.1
2006-04-27,42.8,32.0,0.3
2006-04-28,46.4,30.2,0.2
2006-04-29,46.4,30.2,0.1
2006-04-30,44.6,30.2,0.1
2006-05-01,41.0,32.0,0.0
2006-05-02,44.6,33.8,1.6
2006-05-03,42.8,37.4,0.7
2006-05-04,39.2,35.6,1.1
2006-05-05,42.8,35.6,1.9
2006-05-06,46.4,33.8,1.0
2006-05-07,41.0,35.6,0.0
2006-05-08,44.6,35.6,0.4
2006-05-09,44.6,35.6,0.2
2006-05-10,50.0,33.8,0.6
2006-05-11,44.6,32.0,0.0
2006-05-12,48.2,32.0,0.0
2006-05-13,44.6,32.0,0.0
2006-05-14,44.6,35.6,0.0
2006-05-15,44.6,35.6,0.1
2006-05-16,44.6,33.8,0.0
2006-05-17,50.0,32.0,0.1
2006-05-18,57.2,33.8,0.0
2006-05-19,44.6,37.4,0.0
2006-05-20,55.4,37.4,0.0
2006-05-21,62.6,42.8,0.0
2006-05-22,66.2,37.4,0.0
2006-05-23,62.6,39.2,0.0
2006-05-24,66.2,37.4,0.0
2006-05-25,69.8,42.8,0.0
2006-05-26,69.8,42.8,0.0
2006-05-27,66.2,39.2,0.0
2006-05-28,59.0,39.2,0.0
2006-05-29,59.0,39.2,0.4
2006-05-30,51.8,42.8,0.2
2006-05-31,59.0,42.8,0.1
2006-06-01,64.4,42.8,0.0
2006-06-02,62.6,42.8,0.0
2006-06-03,60.8,42.8,0.0
2006-06-04,60.8,41.0,0.0
2006-06-05,57.2,42.8,0.1
2006-06-06,53.6,44.6,0.0
2006-06-07,53.6,44.6,0.0
2006-06-08,53.6,46.4,0.0
2006-06-09,55.4,46.4,0.4
2006-06-10,50.0,46.4,0.3
2006-06-11,51.8,46.4,0.1
2006-06-12,57.2,46.4,0.1
2006-06-13,66.2,48.2,0.0
2006-06-14,55.4,48.2,0.0
2006-06-15,62.6,50.0,0.0
2006-06-16,55.4,50.0,0.4
2006-06-17,51.8,48.2,0.5
2006-06-18,55.4,46.4,1.3
2006-06-19,55.4,44.6,0.6
2006-06-20,59.0,44.6,0.3
2006-06-21,53.6,46.4,0.0
2006-06-22,55.4,42.8,0.9
2006-06-23,60.8,41.0,0.0
2006-06-24,55.4,46.4,0.0
2006-06-25,55.4,46.4,0.0
2006-06-26,64.4,41.0,0.2
2006-06-27,64.4,44.6,0.0
2006-06-28,55.4,50.0,0.0
2006-06-29,53.6,46.4,0.0
2006-06-30,62.6,44.6,0.0
2006-07-01,59.0,46.4,0.0
2006-07-02,57.2,51.8,0.0
2006-07-03,59.0,51.8,0.0
2006-07-04,59.0,51.8,0.0
2006-07-05,55.4,51.8,0.0
2006-07-06,59.0,48.2,0.0
2006-07-07,60.8,46.4,0.1
2006-07-08,57.2,50.0,0.0
2006-07-09,57.2,51.8,0.0
2006-07-10,59.0,48.2,0.1
2006-07-11,71.6,46.4,0.0
2006-07-12,64.4,50.0,0.0
2006-07-13,57.2,50.0,0.0
2006-07-14,55.4,50.0,0.1
2006-07-15,53.6,48.2,0.4
2006-07-16,55.4,48.2,0.4
2006-07-17,55.4,48.2,0.0
2006-07-18,62.6,48.2,0.3
2006-07-19,62.6,48.2,0.0
2006-07-20,55.4,50.0,0.2
2006-07-21,53.6,50.0,0.2
2006-07-22,55.4,50.0,1.0
2006-07-23,55.4,50.0,0.5
2006-07-24,51.8,48.2,2.2
2006-07-25,62.6,48.2,0.9
2006-07-26,69.8,46.4,0.0
2006-07-27,68.0,48.2,0.0
2006-07-28,57.2,51.8,0.0
2006-07-29,62.6,50.0,0.2
2006-07-30,60.8,46.4,0.2
2006-07-31,57.2,48.2,0.0
2006-08-01,53.6,48.2,0.1
2006-08-02,53.6,48.2,1.5
2006-08-03,51.8,48.2,2.1
2006-08-04,59.0,48.2,0.6
2006-08-05,60.8,46.4,0.6
2006-08-06,66.2,50.0,0.0
2006-08-07,71.6,50.0,0.0
2006-08-08,57.2,50.0,0.0
2006-08-09,53.6,51.8,0.3
2006-08-10,53.6,50.0,0.5
2006-08-11,53.6,50.0,1.2
2006-08-12,53.6,50.0,0.5
2006-08-13,53.6,50.0,0.4
2006-08-14,51.8,50.0,1.3
2006-08-15,53.6,50.0,1.4
2006-08-16,59.0,50.0,0.4
2006-08-17,51.8,50.0,0.1
2006-08-18,55.4,48.2,2.7
2006-08-19,51.8,48.2,1.3
2006-08-20,60.8,46.4,3.0
2006-08-21,50.0,46.4,0.1
2006-08-22,59.0,46.4,2.3
2006-08-23,53.6,48.2,0.6
2006-08-24,53.6,48.2,0.3
2006-08-25,51.8,48.2,1.7
2006-08-26,59.0,46.4,0.7
2006-08-27,59.0,46.4,0.0
2006-08-28,59.0,44.6,0.0
2006-08-29,51.8,46.4,0.0
2006-08-30,51.8,44.6,1.3
2006-08-31,55.4,44.6,1.4
2006-09-01,53.6,44.6,0.1
2006-09-02,55.4,42.8,0.0
2006-09-03,55.4,44.6,0.0
2006-09-04,51.8,48.2,0.1
2006-09-05,50.0,46.4,1.2
2006-09-06,53.6,48.2,0.6
2006-09-07,51.8,46.4,0.0
2006-09-08,50.0,46.4,1.4
2006-09-09,57.2,46.4,1.7
2006-09-10,59.0,42.8,0.0
2006-09-11,60.8,41.0,0.1
2006-09-12,64.4,44.6,0.0
2006-09-13,51.8,42.8,0.0
2006-09-14,50.0,44.6,0.1
2006-09-15,51.8,42.8,1.0
2006-09-16,57.2,42.8,0.1
2006-09-17,53.6,39.2,0.0
2006-09-18,50.0,46.4,0.1
2006-09-19,53.6,42.8,0.7
2006-09-20,48.2,42.8,0.2
2006-09-21,50.0,46.4,1.7
2006-09-22,50.0,44.6,0.8
2006-09-23,53.6,39.2,1.4
2006-09-24,53.6,39.2,0.0
2006-09-25,51.8,42.8,0.5
2006-09-26,51.8,44.6,1.1
2006-09-27,48.2,41.0,0.9
2006-09-28,50.0,42.8,1.3
2006-09-29,50.0,35.6,0.4
2006-09-30,50.4,37.0,0.1
2006-10-01,45.1,37.0,0.4
2006-10-02,48.7,43.9,2.9
2006-10-03,48.7,40.3,3.8
2006-10-04,45.9,38.3,0.5
2006-10-05,47.7,40.5,0.2
2006-10-06,45.3,41.7,0.5
2006-10-07,49.8,42.4,1.0
2006-10-08,48.6,42.3,1.3
2006-10-09,53.1,44.4,4.0
2006-10-10,51.8,39.4,1.0
2006-10-11,49.3,41.4,0.1
2006-10-12,45.1,39.7,0.5
2006-10-13,46.9,38.5,0.0
2006-10-14,47.7,40.6,0.0
2006-10-15,49.3,39.0,0.0
2006-10-16,46.2,37.0,0.1
2006-10-17,45.9,42.1,0.2
2006-10-18,44.2,41.2,0.6
2006-10-19,,,0.1
2006-10-20,45.3,41.5,0.7
2006-10-21,,,0.1
2006-10-22,,,0.7
2006-10-23,,,0.1
2006-10-24,,,0.4
2006-10-25,,,0.4
2006-10-26,38.7,33.3,1.7
2006-10-27,,,0.2
2006-10-28,37.4,30.7,0.1
2006-10-29,35.8,32.5,0.3
2006-10-30,,,0.0
2006-10-31,,,0.1
2006-11-01,36.0,28.4,0.0
2006-11-02,33.8,26.8,0.0
2006-11-03,32.7,25.2,0.1
2006-11-04,31.6,24.4,0.0
2006-11-05,30.4,22.8,0.0
2006-11-06,31.5,25.3,0.0
2006-11-07,31.3,24.3,0.0
2006-11-08,30.9,24.1,0.6
2006-11-09,32.0,27.1,0.6
2006-11-10,38.5,28.4,0.0
2006-11-11,33.4,26.8,0.1
2006-11-12,33.4,20.5,0.0
2006-11-13,27.7,18.5,0.0
2006-11-14,23.2,14.5,0.0
2006-11-15,21.4,17.4,0.0
2006-11-16,27.7,20.7,0.0
2006-11-17,29.7,20.5,0.0
2006-11-18,27.7,19.0,0.0
2006-11-19,29.8,22.1,0.0
2006-11-20,28.6,24.3,0.0
2006-11-21,26.8,23.4,0.0
2006-11-22,25.5,19.0,0.0
2006-11-23,24.6,17.1,0.0
2006-11-24,20.8,14.7,0.0
2006-11-25,22.1,13.8,0.0
2006-11-26,20.8,12.4,0.0
2006-11-27,31.5,20.7,0.2
2006-11-28,28.2,24.6,0.0
2006-11-29,,,0.0
2006-11-30,,,0.2
2006-12-01,34.0,32.9,1.4
2006-12-02,33.8,20.7,0.1
2006-12-03,43.5,28.9,1.1
2006-12-04,41.2,35.2,1.0
2006-12-05,41.7,35.1,0.6
2006-12-06,42.6,33.3,1.0
2006-12-07,41.2,35.1,2.0
2006-12-08,41.5,36.0,2.3
2006-12-09,41.4,33.1,1.7
2006-12-10,38.5,33.1,0.7
2006-12-11,35.2,30.2,0.1
2006-12-12,40.3,32.7,0.8
2006-12-13,32.9,24.3,0.2
2006-12-14,,,0.0
2006-12-15,28.6,20.1,0.0
2006-12-16,,,0.2
2006-12-17,37.8,32.4,0.6
2006-12-18,34.2,25.5,0.4
2006-12-19,37.0,21.4,0.9
2006-12-20,37.2,30.0,1.0
2006-12-21,32.4,15.4,1.1
2006-12-22,28.4,8.8,0.3
2006-12-23,37.9,27.3,1.6
2006-12-24,36.1,28.0,0.2
2006-12-25,29.8,27.1,0.0
2006-12-26,27.9,16.0,0.0
2006-12-27,36.0,11.8,0.8
2006-12-28,37.9,34.5,0.4
2006-12-29,43.2,34.3,0.5
2006-12-30,,,0.4
2006-12-31,30.2,21.4,0.1
2007-01-01,28.6,26.6,0.6
2007-01-02,32.0,26.2,0.4
2007-01-03,34.5,21.9,0.9
2007-01-04,23.7,15.4,0.3
2007-01-05,22.8,18.1,0.0
2007-01-06,20.5,8.1,0.0
2007-01-07,18.1,13.3,0.0
2007-01-08,16.5,12.6,0.0
2007-01-09,18.7,1.6,0.0
2007-01-10,22.6,1.8,0.2
2007-01-11,35.6,21.7,0.8
2007-01-12,36.1,33.6,1.0
2007-01-13,38.7,33.1,0.4
2007-01-14,35.8,29.8,1.5
2007-01-15,30.9,27.5,0.1
2007-01-16,31.5,11.1,0.1
2007-01-17,34.9,29.1,0.2
2007-01-18,38.8,32.7,0.8
2007-01-19,38.5,33.1,0.4
2007-01-20,37.0,32.7,0.6
2007-01-21,36.7,31.1,0.1
2007-01-22,33.4,23.9,0.6
2007-01-23,32.5,26.4,0.4
2007-01-24,27.0,20.7,0.1
2007-01-25,33.4,12.0,0.7
2007-01-26,37.8,33.1,2.5
2007-01-27,40.6,34.5,0.6
2007-01-28,39.4,34.5,1.1
2007-01-29,42.3,34.2,0.8
2007-01-30,41.2,32.2,0.4
2007-01-31,34.5,28.8,0.0
2007-02-01,49.1,28.0,0.0
2007-02-02,47.8,31.5,0.1
2007-02-03,39.7,27.9,0.0
2007-02-04,38.8,26.2,0.1
2007-02-05,33.6,24.4,0.0
2007-02-06,36.0,25.3,0.1
2007-02-07,34.5,26.4,0.0
2007-02-08,34.9,29.3,0.0
2007-02-09,36.1,31.3,0.0
2007-02-10,34.2,25.0,0.0
2007-02-11,34.9,20.8,0.0
2007-02-12,34.0,19.8,0.1
2007-02-13,40.3,30.9,0.2
2007-02-14,38.5,30.0,0.4
2007-02-15,36.1,29.7,0.1
2007-02-16,35.4,28.9,0.1
2007-02-17,36.3,20.5,0.1
2007-02-18,34.9,20.1,0.0
2007-02-19,28.8,18.0,0.1
2007-02-20,29.7,13.3,0.0
2007-02-21,27.9,4.6,0.1
2007-02-22,23.2,5.2,0.0
2007-02-23,22.3,5.4,0.0
2007-02-24,19.8,8.8,0.0
2007-02-25,28.2,7.3,0.0
2007-02-26,30.7,24.4,0.0
